PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17
CTL01_Amnion	-0.222497336015432	-0.266429291999458	0.0792542928110996	-0.103260230105262	0.0421702813385313	-0.647198403537372	0.454621736761185	-0.344561223617923	0.15904720723412	-0.0985970841694061	0.100403401247954	-0.263077897132508	0.00754482846514386	-0.0340825545136493	0.0213077272125588	0.0191331301600331	-0.0131194629867831
CTL01_BasalPlate	-0.252695245247805	-0.16026996432309	0.0382345736570716	-0.162773714032943	0.0881077681716331	0.226690751395174	0.11006799139653	-0.0209094734215657	-0.707612752427074	-0.453832765585246	0.0918777954393147	-0.0962338149817813	-0.282869637181628	-0.0678314556627519	-0.0156869790939729	0.0343413026753142	0.0193244719733473
CTL01_ChorionSmooth	-0.251800720721437	-0.148171885367286	0.0115582034269426	-0.0848518790275758	0.0854407981564617	-0.383105333495896	-0.0906809720350736	0.335754734732594	-0.248460186652854	0.362877395092051	-0.503726933748227	0.266131780997266	-0.246007925584412	0.172993898480285	0.15181882597415	0.013549635466447	-0.025003901675074
CTL01_Trophoblast	-0.251715446329748	-0.162551152661906	0.0504329441205342	-0.144530625739504	0.0974195749477947	0.0702939472215605	-0.0333411061707932	0.406223604922417	0.549896421723878	-0.559121237893771	0.0116148968107626	0.240188123606405	-0.131397356652597	0.0829826578056908	0.0937896284196587	-0.0129775872989465	0.0166925498671636
CTL01_Villi	-0.267206399411831	-0.147950652627468	0.00124422555381575	-0.115876928523003	0.123793709112449	0.186582333052962	0.038592024932115	-0.00171811486999986	-0.120350541666925	0.0567011101668516	0.0549322471914733	-0.0447962722797329	0.701793982093604	0.489033160403388	0.292069387369425	-0.0248722301750715	0.0365688582601192
CTL02_Amnion	-0.195560193651318	0.346045631789302	-0.309033837702649	0.558973325951115	0.382388706577058	0.039239425377267	0.45106094182409	0.215062017522554	-0.0116595616319444	-0.04706157511987	-0.112688560293075	-0.0830118693178202	0.0160498895912398	0.0154993051252345	-0.0879410694067969	-0.073679676121659	0.0314080609233684
CTL02_BasalPlate	-0.266274464551771	-0.132175391103805	-0.0362461361536211	0.0805346193936345	0.0849757845786203	0.170229989352681	0.162142906895485	-0.131045267660097	0.0380556751999416	0.278138930261902	0.299646510225254	0.497648944680057	0.0187252086458635	-0.375864695392403	0.169780920087787	0.483026312291674	-0.0644109190136117
CTL02_ChorionSmooth	-0.231841096354324	0.249261250714753	-0.174246669830346	0.190141117791305	-0.0150159122352558	-0.462113455358006	-0.52562296761658	-0.102864518708185	-0.172841980528808	-0.289037288589808	0.188239983366878	0.256933929731005	0.263527065087521	-0.0940084883883763	-0.13642323174534	-0.0178676811545461	0.0699081515083019
CTL02_Villi	-0.279153147118922	0.0456239566182011	-0.0376480558599616	-0.00752120480267923	-0.0284505490987278	0.146819492986188	-0.036723971575118	-0.2853835444439	0.0705612769018644	0.0437809517787314	-0.0542938383203639	0.128582768266894	-0.077581064350539	0.0134262432166341	-0.043501263152505	-0.456357552166876	-0.755400251543736
CTL03_BasalPlate	-0.262959570711698	0.120383771611826	-0.133953344394345	0.135569342375589	-0.0204049489006216	0.02361599180581	-0.320500856168526	-0.0118136221741785	0.109051309686984	0.153373195550592	0.275868398428677	-0.450991104301284	-0.354418468224095	0.0447027527042506	0.574680204829814	0.00586571380004915	0.0582118832129318
CTL03_Trophoblast	-0.204628601250197	-0.0724716520160507	-0.0071834344693658	0.32574893514339	-0.864087768420856	0.023306515896958	0.181894451032429	0.186863946981973	-0.0504200772189655	-0.0741504921679903	-0.0668476863553969	-0.0325091294945488	0.0742560385965897	0.0426128517657504	-0.00117138471721101	0.0921158246292386	-0.046195080590139
CTL03_Villi	-0.269318772592696	0.0253377592908248	-0.0476707846095565	0.0338749692291106	-0.0219099447823402	0.153651354261317	-0.0839952924269172	-0.365106370662453	0.145208272935296	0.101090218594445	-0.00390055369163785	0.0617424135011988	-0.299457110576911	0.55430401165904	-0.466937820663741	0.235172034281223	0.231435513229707
